GEN_EPA_ID,NAICS_CODE,SIC_CODE,Comments
CA0000133512,56131,7299,
CA0000133512,56131,7819,
CA0000133512,56131,7361,
CA0000133512,71151,8999,
CA0000133728,61111,8211,
CA0000133751,335991,3624,
CA0000133751,33992,3949,
CA0000133751,33992,3069,
CA0000133868,48849,4785,
CA0000133868,48849,4173,
CA0000133868,48849,4231,
CA0000134031,811111,7538,
CA0000134890,111219,0161,
CA0000134890,111219,0139,
CA0000135046,44111,5511,
CA0000137885,336399,3714,
CA0000137885,3327,,
CA0000137885,336399,3599,
CA0000137885,336399,3429,
CA0000137885,336399,3799,
CA0000137885,336399,3519,
CA0000137893,22131,4941,
CA0000137893,22131,4971,
CA0000137898,,,
CA0000138081,621493,8011,
CA0000138180,11531,0851,
CA0000138180,92216,9224,
CA0000138230,333514,3544,
CA0000138297,562998,4959,
CA0000138297,562998,7699,
CA0000138313,22131,4941,
CA0000138313,22131,4971,
CA0000138339,221122,4931,
CA0000138339,221122,4911,
CA0000138339,221122,4939,
CA0000138404,44111,5511,
CA0000138503,44111,5511,
CA0000138537,331522,3364,
CA0000139782,483113,4424,
CA0000139782,483113,4432,
CA0000139782,483211,4449,
CA0000142331,33635,3714,
CA0000142331,3362,,
CA0000144931,323114,7334,
CA0000144931,323114,2759,
CA0000144931,323110,2771,
CA0000144931,323110,2752,
CA0000144931,323114,2752,
CA0000148841,811111,7538,
CA0000149245,221122,4911,
CA0000149245,221122,4931,
CA0000149245,221122,4939,
CA0000149492,54194,8734,
CA0000149492,54138,8734,
CA0000149492,54194,0741,
CA0000149492,54194,0742,
CA0000183905,22121,4925,
CA0000183905,22121,4939,
CA0000183905,22121,4931,
CA0000183905,22121,4924,
CA0000183905,22121,4923,
CA0000183905,221122,4931,
CA0000183905,221122,4911,
CA0000183905,221122,4939,
CA0000183905,22121,4932,
CA0000185116,337215,3089,
CA0000185116,337215,2514,
CA0000185116,337215,2511,
CA0000185116,337215,2542,
CA0000185116,337215,2426,
CA0000185116,337215,3429,
CA0000185116,337215,3499,
CA0000185116,337215,2541,
CA0000191221,323114,7334,
CA0000191221,323114,2759,
CA0000191221,323114,2752,
CA0000195214,44111,5511,
CA0000197053,44111,5511,
CA0000197251,326113,3081,
CA0000197574,621493,8011,
CA0000197805,,,
CA0000197806,32616,3085,
CA0000197889,44111,5511,
CA0000202093,333912,3563,
CA0000207167,44111,5511,
CA0000207282,44111,5511,
CA0000228445,48849,4173,
CA0000228445,48849,4231,
CA0000228445,48849,4785,
CA0000229377,99999,9999,
CA0000229385,334515,3825,
CA0000233833,532412,7359,
CA0000233833,532412,7353,
CA0000234351,33635,3714,
CA0000235689,221122,4939,
CA0000235689,221122,4911,
CA0000235689,221122,4931,
CA0000237180,337215,3089,
CA0000237180,337215,2542,
CA0000237180,337215,2514,
CA0000237180,337215,2511,
CA0000237180,337215,2541,
CA0000237180,337215,2426,
CA0000237180,337215,3429,
CA0000237180,337215,3499,
CA0000265967,221112,4939,
CA0000265967,221112,4931,
CA0000265967,221112,4911,
CA0000269506,488119,4959,
CA0000269506,4881,,
CA0000269506,488119,4581,
CA0000270488,811111,7538,
CA0000278630,44111,5511,
CA0000280198,54171,8733,
CA0000280198,54171,3764,
CA0000280198,54171,3728,
CA0000280198,54171,3761,
CA0000280198,54171,8731,
CA0000280198,54171,3721,
CA0000280198,54171,3769,
CA0000280198,54171,3724,
CA0000285783,32616,3085,
CA0000289586,,,
CA0000302596,44111,5511,
CA0000303040,811111,7538,
CA0000303180,61131,8221,
CA0000303966,61131,8221,
CA0000321497,327122,3253,
CA0000332726,92612,9621,
CA0000333815,92612,9621,
CA0000336586,334412,3672,
CA0000341388,44111,5511,
CA0000341495,92612,9621,
CA0000344051,311812,2051,
CA0000344051,311812,2052,
CA0000344085,332431,3411,
CA0000359547,332213,3425,
CA0000367763,23499,1629,
CA0000367763,23499,7353,
CA0000367763,23499,8741,
CA0000367912,44111,5511,
CA0000368662,336212,3715,
CA0000368662,811111,7538,
CA0000368910,333319,3599,
CA0000368910,333319,3699,
CA0000368910,333319,3589,
CA0000368910,333319,3559,
CA0000368910,333319,3999,
CA0000370197,56292,4953,
CA0000370197,562119,4212,
CA0000372219,44111,5511,
CA0000372243,54171,8733,
CA0000372243,54171,3764,
CA0000372243,54171,3728,
CA0000372243,54171,3761,
CA0000372243,54171,8731,
CA0000372243,54171,3721,
CA0000372243,54171,3769,
CA0000372243,54171,3724,
CA0000372276,323110,2752,
CA0000372276,323110,2771,
CA0000375055,92811,9711,
CA0000378117,11331,2411,
CA0000441527,44111,5511,
CA0000449462,333999,3569,
CA0000449462,333999,3599,
CA0000463826,,,
CA0000472118,42111,5012,
CA0000479337,323114,2752,
CA0000479337,323114,7334,
CA0000479337,323114,2759,
CA0000481663,811121,7532,
CA0000483578,221122,4939,
CA0000483578,221122,4911,
CA0000483578,221122,4931,
CA0000483826,336399,3799,
CA0000483826,336399,3599,
CA0000483826,336399,3519,
CA0000483826,336399,3714,
CA0000483826,336399,3429,
CA0000546630,488119,4959,
CA0000546630,488119,4581,
CA0000550715,,,
CA0000552067,221112,4911,
CA0000552067,221112,4931,
CA0000552067,221112,4939,
CA0000552075,221122,4939,
CA0000552075,221122,4911,
CA0000552075,221122,4931,
CA0000552166,221112,4911,
CA0000552166,221112,4931,
CA0000552166,221112,4939,
CA0000552216,221122,4939,
CA0000552216,221122,4911,
CA0000552216,221122,4931,
CA0000556480,32512,2813,
CA0000556480,32512,2869,
CA0000562140,221112,4911,
CA0000562140,221112,4931,
CA0000562140,221112,4939,
CA0000562157,221122,4939,
CA0000562157,221122,4911,
CA0000562157,221122,4931,
CA0000562165,221112,4911,
CA0000562165,221112,4931,
CA0000562165,221112,4939,
CA0000562215,221112,4911,
CA0000562215,221112,4931,
CA0000562215,221112,4939,
CA0000562216,,,
CA0000562876,42269,5169,
CA0000565390,42183,5084,
CA0000565390,42183,5085,
CA0000569533,811111,7538,
CA0000575753,482111,4011,
CA0000588293,44719,5541,
CA0000588350,3133,,
CA0000594846,332813,3471,
CA0000594846,332813,3399,
CA0000603613,,,
CA0000624452,44111,5511,
CA0000646497,48421,4212,
CA0000646497,48421,4214,
CA0000646497,48421,4213,
CA0000683169,332439,3444,
CA0000683169,3327,,
CA0000683169,332439,3499,
CA0000683169,332439,3429,
CA0000683169,332439,3412,
CA0000683169,332439,3537,
CA0000693879,323114,7334,
CA0000693879,323114,2759,
CA0000693879,323114,2752,
CA0000693929,334611,7372,
CA0000705095,48421,4213,
CA0000705095,48421,4214,
CA0000705095,48421,4212,
CA0000705095,4841,,
CA0000722595,482111,4011,
CA0000734632,44111,5511,
CA0000746321,44719,5541,
CA0000755207,44719,5541,
CA0000758789,54171,3764,
CA0000758789,54171,3721,
CA0000758789,54171,8731,
CA0000758789,54171,8733,
CA0000758789,54171,3761,
CA0000758789,54171,3724,
