Score,X,Y,GEN_EPA_ID,ZIP5,POINT_X_12_13,POINT_Y_12_13,POINT_X,POINT_Y
95.29,-118.018459,34.054988,CAL000346806,91732,0,0,-118.018459,34.054988
100,-122.124156,38.078848,CAL000346817,94510,0,0,-122.124156,38.078848
100,-117.576083,34.03345,CAL000346831,91761,0,0,-117.576083,34.03345
97.43,-117.266289,33.937837,CAL000346834,92553,0,0,-117.266289,33.937837
100,-122.214713,37.772522,CAL000346845,94601,0,0,-122.214713,37.772522
100,-118.147985,34.692825,CAL000346850,93534,0,0,-118.147985,34.692825
100,-120.885314,37.48792,CAL000346870,95380,0,0,-120.885314,37.48792
100,-121.537019,37.728651,CAL000346875,95377,0,0,-121.537019,37.728651
100,-117.537102,34.007472,CAL000346876,91752,0,0,-117.537102,34.007472
100,-122.871633,38.607669,CAL000346889,95448,0,0,-122.871633,38.607669
98.02,-121.544665,38.581883,CAL000346909,95691,0,0,-121.544665,38.581883
100,-117.05527,33.363505,CAL000346912,92059,0,0,-117.05527,33.363505
100,-117.096324,33.108183,CAL000346913,92029,0,0,-117.096324,33.108183
100,-116.935813,32.80021,CAL000346931,92021,0,0,-116.935813,32.80021
95.29,-118.021924,34.052152,CAL000346943,91732,0,0,-118.021924,34.052152
0,0,0,CAL000346946,92335,-117.4657898,34.08766471,-117.4657898,34.08766471
100,-118.035647,33.808274,CAL000346949,90630,0,0,-118.035647,33.808274
100,-118.477621,34.126266,CAL000346952,90049,0,0,-118.477621,34.126266
100,-122.110813,38.006727,CAL000346954,94553,0,0,-122.110813,38.006727
100,-117.835828,33.730946,CAL000346956,92705,0,0,-117.835828,33.730946
100,-118.114715,33.928579,CAL000346959,90241,0,0,-118.114715,33.928579
100,-122.251081,37.791872,CAL000346965,94606,0,0,-122.251081,37.791872
100,-118.893253,34.279037,CAL000346970,93021,0,0,-118.893253,34.279037
100,-119.253613,35.448924,CAL000346979,93263,0,0,-119.253613,35.448924
100,-117.51959,34.055312,CAL000346980,92337,0,0,-117.51959,34.055312
97.17,-117.058232,32.594687,CAL000346986,91911,0,0,-117.058232,32.594687
100,-117.121328,33.128223,CAL000346987,92029,0,0,-117.121328,33.128223
0,0,0,CAL000346988,91763,-117.6983318,34.07212488,-117.6983318,34.07212488
100,-117.579319,34.108464,CAL000346996,91730,0,0,-117.579319,34.108464
100,-122.728976,38.448874,CAL000346999,95401,0,0,-122.728976,38.448874
98,-118.171362,33.925868,CAL000347009,90280,0,0,-118.171362,33.925868
96.14,-118.179237,33.7787,CAL000347027,90813,0,0,-118.179237,33.7787
100,-117.196237,32.729563,CAL000347028,92101,0,0,-117.196237,32.729563
100,-118.638348,34.425478,CAL000347030,91384,0,0,-118.638348,34.425478
100,-122.0482,37.611496,CAL000347032,94544,0,0,-122.0482,37.611496
100,-117.292693,33.631249,CAL000347034,92530,0,0,-117.292693,33.631249
96.14,-118.221169,33.804326,CAL000347053,90810,0,0,-118.221169,33.804326
0,0,0,CAL000347054,95974,-121.7474852,39.49577353,-121.7474852,39.49577353
100,-118.037013,33.810296,CAL000347057,90630,0,0,-118.037013,33.810296
100,-122.030232,37.961285,CAL000347069,94518,0,0,-122.030232,37.961285
100,-122.299557,37.891913,CAL000347074,94706,0,0,-122.299557,37.891913
100,-117.177763,32.684072,CAL000347097,92118,0,0,-117.177763,32.684072
100,-117.689616,34.03279,CAL000347125,91710,0,0,-117.689616,34.03279
100,-117.462661,34.053413,CAL000347126,92337,0,0,-117.462661,34.053413
100,-117.920374,33.756625,CAL000347127,92703,0,0,-117.920374,33.756625
97.89,-121.389579,38.652625,CAL000347131,95660,0,0,-121.389579,38.652625
100,-124.350006,40.556099,CAL000347136,95536,0,0,-124.350006,40.556099
100,-121.90769,37.393249,CAL000347145,95131,0,0,-121.90769,37.393249
100,-118.282894,33.890656,CAL000347152,90248,0,0,-118.282894,33.890656
100,-122.150769,37.429308,CAL000347160,94306,0,0,-122.150769,37.429308
100,-122.186629,37.451471,CAL000347161,94025,0,0,-122.186629,37.451471
