Fate,Generation,Import,TxOut,TxLosses,DK,Ev,RFO_CA,ExportMix,Wastewater,HazWaste,Incin,Rejuv,Count
C-CA,68682,204631,5709,0,0,0,13665,0,259647,0,0,0,1
P-AR,3351,0,0,0,0,0,0,3183,167,0,0,0,1
P-AZ,64574,0,0,0,0,0,0,37362,15050,12161,0,0,3
P-CA,4917372,454966,29038,0,4042507,22717,171656,0,172199,963250,0,0,20
P-NV,41793,0,0,0,0,0,0,22049,387,19356,0,0,4
P-OR,1071190,0,0,0,0,0,0,910274,40,160499,376,0,2
P-TX,1079,0,0,0,0,0,0,873,0,151,54,0,2
P-UT,93685,0,0,0,0,0,0,2939,0,803,89943,0,2
Tx-CA,927,0,43743,616,0,0,265,0,0,46,0,0,1
TOTAL
 ,6262653,659597,78490,616,4042507,22717,185586,976680,447490,1156266,90373,0,36

