SourceName,RptSrc,SrcEPAID,DestinationName,DestType,DestEPAID,QuarterYear,LubeOil,IndOil,Total
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors_ San Jose_ LLC,Recycler,CAD059494310,January - March 2004,17868,,17868
Clean Harbors Environmental Services,Hauler,MAD039322250,Clean Harbors_ Los Angeles_ LLC,Recycler,CAD050806850,January - March 2004,23341,,23341
Clean Tech Environmental,Hauler,CAD008493322,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,168459,,168459
Clean Tech Environmental,Hauler,CAD008493322,Crosby and Overton-Plant #1,Recycler,CAD028409019,January - March 2004,11114,,11114
Clearwater Environmental Management,Hauler,CAR000007013,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,January - March 2004,523375,,523375
Compliance Environmental Services,Hauler,CAL000161247,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2004,43500,,43500
Consultant Environmental Operations; C.E.O.,Hauler,CAL000209884,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,27615,,27615
Crane's Waste Oil_ Inc.,Hauler,CAD980813950,Crane's Waste Oil_ Inc.,Hauler,CAD980813950,January - March 2004,244837,,244837
Crane's Waste Oil_ Inc.,Hauler,CAD980813950,Crane's Waste Oil_ Inc.,Transfer Station,CAD980813950,January - March 2004,244837,,244837
D   R Oil Company,Hauler,CAL000253903,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,55797,,55797
D.I. Express Waste Mgmt.,Hauler,CAL000159447,Filter Recycling Services_ Inc.,Hauler,CAD982444481,January - March 2004,28700,,28700
D.I. Express Waste Mgmt.,Hauler,CAL000159447,Filter Recycling Services_ Inc.,Transfer Station,CAD982444481,January - March 2004,28700,,28700
DK Dixon,Hauler,CAT080012602,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,457546,,457546
Ecology Control Industries_ Inc.,Hauler,CAD982030173,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,5585,,5585
EFR Environmental Services Inc.,Hauler,CAR000011205,Dome Rock Industries,Recycler,AZR000035915,January - March 2004,18055,,18055
Evergreen Environmental Services (Newark),Hauler,CAD982413262,Evergreen Oil,Recycler,CAD980887418,January - March 2004,2932544,,2932544
Evergreen Environmental Services (Newark),Hauler,CAD982413262,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2004,2681995,,2681995
Excel Environmental Services,Hauler,CAL000209350,Riverbank Oil Transfer,Recycler,CAL000190818,January - March 2004,50250,,50250
Excel Environmental Services,Hauler,CAL000209350,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,January - March 2004,5820,,5820
Express Environmental Corp._dba Express Oil,Hauler,CAL000264806,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,154965,,154965
Filter Recycling Services_ Inc.,Hauler,CAD982444481,Advanced Environmental_ Inc.,Recycler,CAT080025711,January - March 2004,4773,,4773
Filter Recycling Services_ Inc.,Hauler,CAD982444481,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2004,30700,,30700
Filter Recycling Services_ Inc.,Hauler,CAD982444481,Advanced Environmental_ Inc.,Transfer Station,CAT080025711,January - March 2004,4773,,4773
Fremouw Environmental Services,Hauler,CAL000218587,Ramos Environmental Services,Hauler,CAD044003556,January - March 2004,85140,,85140
Fremouw Environmental Services,Hauler,CAL000218587,Ramos Environmental Services,Transfer Station,CAD044003556,January - March 2004,85140,,85140
GI Pumping Co.,Hauler,CAD981372915,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,57100,,57100
Golden State Environmental Services(San B),Hauler,CAR000111286,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,160710,,160710
Golden West Oil Company,Hauler,CAD980893325,Advanced Environmental_ Inc.,Recycler,CAT080025711,January - March 2004,263425,,263425
Golden West Oil Company,Hauler,CAD980893325,Advanced Environmental_ Inc.,Transfer Station,CAT080025711,January - March 2004,263425,,263425
Haz Mat Trans_ Inc.,Hauler,CAT080012800,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,200,,200
Haz Mat Trans_ Inc.,Hauler,CAT080012800,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,4000,,4000
Hazardous Technologies_ Inc. (Omega),Hauler,CAD009661844,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,1245,,1245
Interstate Pumping Company,Hauler,CAL000328860,Crosby and Overton-Plant #1,Recycler,CAD028409019,January - March 2004,7144,,7144
J.B. Trans Services_Inc (dba) All Phase Env.,Hauler,CAL000253361,Southwest Petroleum Terminals_ LLC,Recycler,AZR000003038,January - March 2004,737052,,737052
Jack Stone Drainage Oil Service,Hauler,CAD080075096,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,198140,,198140
JSE Environmental Services,Hauler,CAL000827857,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,21950,,21950
Kern Oil Filter Recycling,Hauler,CAL000327867,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,80620,,80620
Knight_ Jim_ Drain Oil Service,Hauler,CAL000027718,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,600,,600
Knight_ Jim_ Drain Oil Service,Hauler,CAL000027718,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2004,153815,,153815
Leach Oil Company_ Inc.,Hauler,CAD050099696,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,104424,,104424
Leach Oil Company_ Inc.,Hauler,CAD050099696,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2004,243650,,243650
Lightning Oil Company,Hauler,CAD982359671,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,83355,,83355
Los Angeles Pumping,Hauler,CAR000201459,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,5215,,5215
Lowry_ George W._ Inc.,Hauler,CAR000047019,Riverbank Oil Transfer,Recycler,CAL000190818,January - March 2004,135245,,135245
Maximum Oil Service,Hauler,CAL000188867,Bayside Oil II_ Inc.,Hauler,CAD088838222,January - March 2004,24115,,24115
Maximum Oil Service,Hauler,CAL000188867,Ramos Environmental Services,Hauler,CAD044003556,January - March 2004,70865,,70865
Maximum Oil Service,Hauler,CAL000188867,Evergreen Oil,Recycler,CAD980887418,January - March 2004,9885,,9885
Maximum Oil Service,Hauler,CAL000188867,Riverbank Oil Transfer,Recycler,CAL000190818,January - March 2004,6940,,6940
