TeXKey,Label,Style,VarA,VarB,VarC,VarD,VarE,VarF,VarG
Year,,*d,2004,2005,2006,2007,2008,2009,2010
CRUnits,Units,*s,Mgal,Mgal,Mgal,Mgal,Mgal,Mgal,Mgal
MDUnits,,*s,Mgal,Mgal,Mgal,Mgal,Mgal,Mgal,Mgal
MDDispositionH122,H122 Evaporation,,0.000000,0.000000,0.000000,0.000000,0.000000,0.010962,0.000000
MDDispositionH123,H123 Settling or Clarification,,0.000000,0.000000,0.046462,0.076156,0.000000,0.000000,0.000000
MDDispositionH129,H129 Other Treatment,,1.382539,0.783601,0.604112,0.292893,0.183147,0.150215,0.023405
MDDispositionH13,H13 H13,,0.000000,0.000000,0.003080,0.000000,0.000000,0.000000,0.000000
MDDispositionH131,H131 Land Treatment or Application,,0.006721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MDDispositionH132,H132 Landfill or Surface Impoundment,,2.641939,1.906185,1.749386,4.289950,4.462648,4.177033,6.119507
MDDispositionH134,H134 Deepwell or Underground Injection,,0.000000,0.008190,0.000000,0.000000,0.000000,0.000000,0.000000
MDDispositionH135,H135 Discharge to Sewer/POTW or NPDES,,0.000000,0.000000,3.504370,4.496950,3.655102,3.404694,4.692820
MDDispositionH138,H138 H138,,0.000000,0.000000,0.000000,0.001758,0.000000,0.005595,0.001712
MDDispositionH139,H139 H139,,0.000000,0.000000,0.000000,0.017128,0.000000,0.000000,0.000000
MDDispositionH141,H141 Storage_ Bulking_ and/or Transfer Off-site,,0.549705,0.159620,0.715213,1.691673,1.215440,0.925816,0.833328
MDDispositionH213,H213 H213,,0.000000,0.000000,0.000000,0.000000,0.000513,0.000000,0.000000
MDDispositionH650,H650 H650,,0.000000,0.000000,0.002768,0.000000,0.000000,0.000000,0.000000
MDDispositionOtherUnknown,Other / Unknown,,57.195393,56.802093,9.134128,6.240223,4.309067,3.922484,3.382636
MDDispositionT68,T68,,0.000000,0.000000,0.000000,0.000000,0.026720,0.005366,0.000000
MDDispositionTotal,Total Oil Disposed - DTSC,,181.392828,199.693907,82.183198,131.210917,125.979710,119.696720,125.371463
MDDispositionWC221H010,H010 Metals Recovery,,0.000000,0.000000,0.029421,0.037087,0.155599,0.000000,0.000000
MDDispositionWC221H020,H020 Solvents Recovery,,0.000000,0.000000,0.334197,2.710771,3.226169,1.262704,2.788958
MDDispositionWC221H037,H037 H037,,0.000000,0.000000,0.000000,0.000000,0.011237,0.000000,0.000000
MDDispositionWC221H039,H039 Other Recovery for reuse,,113.612899,125.139004,55.744889,85.698434,87.590427,85.508857,86.897977
MDDispositionWC221H040,H040 Incineration,,0.191412,0.160418,0.127222,0.054437,0.084144,0.228578,0.150694
MDDispositionWC221H050,H050 On-Site Energy Recovery,,0.000000,0.000000,0.506274,5.032330,4.072914,2.554978,0.433048
MDDispositionWC221H061,H061 Off-Site Energy Recovery,,0.000000,0.000000,1.143342,8.915766,5.818711,3.796942,4.011968
MDDispositionWC221H080,H080 H080,,0.000000,0.000000,0.007421,0.000000,0.000000,0.000000,0.000000
MDDispositionWC221H081,H081 Biological Treatment,,0.000000,0.000000,0.000000,0.000000,0.000000,0.027419,0.022276
MDDispositionWC221H129,H129 Other Treatment,,0.437629,0.186745,0.184819,0.132026,0.131787,0.107579,0.000000
MDDispositionWC221H131,H131 Land Treatment or Application,,0.006653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MDDispositionWC221H132,H132 Landfill or Surface Impoundment,,0.085569,0.169007,0.157375,0.333246,0.458695,0.226170,0.329675
MDDispositionWC221H134,H134 Deepwell or Underground Injection,,0.000000,0.008190,0.000000,0.000000,0.000000,0.000000,0.000000
MDDispositionWC221H135,H135 Discharge to Sewer/POTW or NPDES,,0.000000,0.000000,0.964805,2.076992,1.114101,1.043698,2.066418
MDDispositionWC221H141,H141 Storage_ Bulking_ and/or Transfer Off-site,,0.090917,0.085105,0.247263,0.320354,0.363299,0.290928,0.179431
MDDispositionWC221OtherUnknown,Other / Unknown,,44.647472,42.506331,8.164339,5.585657,3.432462,3.635603,3.171496
MDDispositionWC221Total,Total Oil Disposed - WC 221,,159.072551,168.254800,67.611367,110.897100,106.459545,98.683456,100.051941
MDDispositionWC222H020,H020 Solvents Recovery,,0.000000,0.000000,0.004372,0.004135,0.000000,0.000000,0.000000
MDDispositionWC222H039,H039 Other Recovery for reuse,,2.828624,5.237562,3.224176,2.448906,3.796760,4.842706,6.016374
MDDispositionWC222H040,H040 Incineration,,0.161608,0.124679,0.106603,0.064980,0.168772,0.090373,0.262704
MDDispositionWC222H050,H050 On-Site Energy Recovery,,0.000000,0.000000,0.000000,0.000000,0.001694,0.001575,0.000000
MDDispositionWC222H061,H061 Off-Site Energy Recovery,,0.000000,0.000000,0.004281,0.012327,0.120758,0.019244,0.006852
MDDispositionWC222H077,H050 On-Site Energy Recovery,,0.000000,0.000000,0.000312,0.000000,0.000000,0.000000,0.000164
MDDispositionWC222H081,H081 Biological Treatment,,0.000000,0.000000,0.000000,0.047924,0.588217,1.035515,0.041430
MDDispositionWC222H111,H077 Other Chemical Precipitation,,0.000000,0.000000,0.000000,0.004293,0.004132,0.008238,0.034902
MDDispositionWC222H123,H080 H080,,0.000000,0.000000,0.013937,0.020013,0.000000,0.000000,0.000000
MDDispositionWC222H129,H081 Biological Treatment,,0.182093,0.198235,0.211870,0.000661,0.000000,0.000000,0.000000
MDDispositionWC222H131,H101 Sludge Treatment / Dewatering,,0.000068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MDDispositionWC222H132,H103 Absorption,,0.209662,0.080425,0.080122,0.213751,0.403784,0.241421,0.137150
MDDispositionWC222H135,H135 Discharge to Sewer/POTW or NPDES,,0.000000,0.000000,1.361604,2.419958,0.364307,0.469955,0.245371
MDDispositionWC222H141,H141 Storage_ Bulking_ and/or Transfer Off-site,,0.041263,0.024639,0.056750,0.230900,0.196996,0.086121,0.069642
MDDispositionWC222OtherUnknown,Other / Unknown,,3.546031,2.625672,0.256358,0.261799,0.284169,0.037184,0.054183
MDDispositionWC222Total,Total Oil Disposed - WC 222,,6.969349,8.291212,5.320385,5.729647,5.929589,6.832332,6.877997
MDDispositionWC222Y141,Y141 Generator Inbound Transfer Adjustment,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MDDispositionWC223D99,H131 Land Treatment or Application,,0.000000,0.000000,0.000000,0.008075,0.000000,0.000000,0.000000
MDDispositionWC223H010,H010 Metals Recovery,,0.000000,0.000000,0.007584,0.056533,0.056285,0.060024,0.009285
MDDispositionWC223H020,H134 Deepwell or Underground Injection,,0.000000,0.000000,0.000000,0.006118,0.018483,0.000000,0.000000
MDDispositionWC223H039,H039 Other Recovery for reuse,,5.677990,9.346734,4.980523,3.802827,5.964452,7.066783,8.916951
MDDispositionWC223H040,H040 Incineration,,0.041700,0.025821,0.031050,0.080522,0.077989,0.081641,0.072305
MDDispositionWC223H041,H041 H041,,0.000000,0.000000,0.000000,0.017309,0.000000,0.000000,0.000000
MDDispositionWC223H050,H050 On-Site Energy Recovery,,0.000000,0.000000,0.005999,0.003824,0.008610,0.006833,0.009902
MDDispositionWC223H061,H061 Off-Site Energy Recovery,,0.000000,0.000000,0.150261,0.506251,0.324661,0.120183,0.086587
MDDispositionWC223H077,H077 Other Chemical Precipitation,,0.000000,0.000000,0.000000,0.000000,0.000000,0.003152,0.000000
MDDispositionWC223H081,H081 Biological Treatment,,0.000000,0.000000,0.005689,0.000000,0.000000,0.367975,0.426277
MDDispositionWC223H101,H101 Sludge Treatment / Dewatering,,0.000000,0.000000,0.000875,0.024093,0.029592,0.010835,0.027729
MDDispositionWC223H103,H103 Absorption,,0.000000,0.000000,0.005244,0.000000,0.000000,0.000000,0.000000
MDDispositionWC223H111,H111 Stabilization_ Off-site Disposal,,0.000000,0.000000,0.003944,0.015533,0.007467,0.000000,0.062364
MDDispositionWC223H122,H122 Evaporation,,0.000000,0.000000,0.000000,0.000000,0.000000,0.010962,0.000000
MDDispositionWC223H123,H123 Settling or Clarification,,0.000000,0.000000,0.032525,0.056143,0.000000,0.000000,0.000000
MDDispositionWC223H129,H129 Other Treatment,,0.762817,0.398621,0.207423,0.160206,0.051360,0.042636,0.023405
MDDispositionWC223H13,H13 H13,,0.000000,0.000000,0.003080,0.000000,0.000000,0.000000,0.000000
MDDispositionWC223H132,H132 Landfill or Surface Impoundment,,2.346708,1.656753,1.511889,3.742953,3.600169,3.709442,5.652682
MDDispositionWC223H135,H135 Discharge to Sewer/POTW or NPDES,,0.000000,0.000000,1.177961,0.000000,2.176694,1.891041,2.381031
MDDispositionWC223H138,H138 H138,,0.000000,0.000000,0.000000,0.001758,0.000000,0.005595,0.001712
MDDispositionWC223H139,H139 H139,,0.000000,0.000000,0.000000,0.017128,0.000000,0.000000,0.000000
MDDispositionWC223H141,H141 Storage_ Bulking_ and/or Transfer Off-site,,0.417525,0.049876,0.411200,1.140419,0.655145,0.548767,0.584255
MDDispositionWC223H213,H213,,0.000000,0.000000,0.000000,0.000000,0.000513,0.000000,0.000000
MDDispositionWC223H650,H650,,0.000000,0.000000,0.002768,0.000000,0.000000,0.000000,0.000000
MDDispositionWC223OtherUnknown,Other / Unknown,,9.001890,11.670090,0.713431,0.392767,0.592436,0.249697,0.156957
MDDispositionWC223T68,T68,,0.000000,0.000000,0.000000,0.000000,0.026720,0.005366,0.000000
MDDispositionWC223Total,Total Oil Disposed - WC 223,,15.350928,23.147895,9.251446,14.584170,13.590576,14.180932,18.441525
MDDispositionWC223Y141,Y141 Generator Inbound Transfer Adjustment,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MDDispositionY141,Y141 Generator Inbound Transfer Adjustment,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MDGeogExports,Exports out of CA - DTSC,,27.428789,29.525623,13.671278,23.762432,18.443602,15.883113,17.598328
MDGeogTotal,Total Used Oil Generated,,193.893287,212.157792,100.644535,137.193079,130.585823,123.806466,129.428184
MDGeogWC221ex,Exports - WC 221,,24.512732,24.371923,11.501224,19.217034,13.822237,10.680413,8.976917
MDGeogWC222ex,Exports - WC 222,,0.541006,0.249654,0.336393,0.436867,0.990104,1.275672,1.099109
MDGeogWC223ex,Exports - WC 223,,2.375051,4.904046,1.833661,4.108531,3.631261,3.927028,7.522302
MDHaulingDirect,Hauling - Direct,,147.351308,157.086621,50.877823,72.873591,68.120326,66.077218,72.774039
MDHaulingTotal,Total Used Oil Hauled,,193.893287,212.157792,100.644535,137.193079,130.585823,123.806466,129.428184
MDHaulingTxLosses,Losses - Transfer Stations,,12.500459,12.463885,18.461337,5.982162,4.606113,4.109746,4.056721
MDHaulingTxStation,Hauling - Transfer Stations,,34.041520,42.607286,31.305375,58.337326,57.859384,53.619502,52.597424
MDHaulingWC221Direct,,,125.879487,126.810370,40.200029,56.590069,52.498990,49.154846,52.149174
MDHaulingWC221TxLosses,,,12.387588,11.901990,15.500038,3.888509,2.784495,2.846526,2.892262
MDHaulingWC221TxStation,,,33.193064,41.444430,27.411338,54.307031,53.960555,49.528610,47.902767
MDHaulingWC222Direct,,,6.875121,8.181335,4.995332,5.396325,5.817962,6.750149,6.770361
MDHaulingWC222TxLosses,,,0.078813,0.049940,0.289725,0.260640,0.096085,0.035665,0.081528
MDHaulingWC222TxStation,,,0.094228,0.109877,0.325053,0.333322,0.111627,0.082183,0.107636
MDHaulingWC223Direct,,,14.596700,22.094916,5.682462,10.887197,9.803374,10.172223,13.854504
MDHaulingWC223TxLosses,,,0.034058,0.511955,2.671574,1.833013,1.725533,1.227555,1.082931
MDHaulingWC223TxStation,,,0.754228,1.052979,3.568984,3.696973,3.787202,4.008709,4.587021
MDProductsAsphalt,Asphalt Produced - MD,,9.518760,15.058468,8.637379,9.963410,13.073302,14.885647,15.278391
MDProductsBaseOil,Base Oil Produced - MD,,12.547911,12.540299,4.491173,10.366601,9.628192,10.562014,10.209835
MDProductsLightFuels,Light Fuels Produced - MD,,13.692956,23.067101,12.232504,23.527893,28.581339,30.503648,26.317080
MDProductsRFO,RFO Produced - MD,,61.532470,65.124491,21.783100,28.571030,20.492084,18.009052,19.789366
MDProductsTotal,Total Products - MD,,97.292097,115.790359,47.144156,72.428934,71.774917,73.960361,71.594672
MDUOGenTotal,Total Used Oil Generated,,193.893287,212.157792,100.644535,137.193079,130.585823,123.806466,129.428184
MDUOGenWC221,221 Used Oil,,171.460139,180.156790,83.111405,114.785609,109.244040,101.529982,102.944203
MDUOGenWC222,222 Oil-Water Separation Sludge,,7.048162,8.341152,5.610110,5.990287,6.025674,6.867997,6.959525
MDUOGenWC223,223 Other Oil-containing waste,,15.384986,23.659850,11.923020,16.417183,15.316109,15.408487,19.524456

TeXKey,Label,Style,VarA,VarB,VarC,VarD,VarE,VarF,VarG
TOTAL
 , , ,3712.072762,3903.121306,2392.833230,3111.343455,3000.264326,2701.752528,2769.917010

