
###
##
## Mass Balance by EPAID for 2004
## Inputs on left, outputs on right
##
H_LubeTotal,H_IndTotal,H_LubeOOC,H_IndOOC,T_LubeIn ,T_IndIn ,P_LubeTotal,P_IndTotal,P_LubeOOC,P_IndOOC,EPAID       ,P_RFO    ,P_Waste  ,P_TxOut ,T_LubeOut,T_IndOut,T_Destinations                                                                             

   328797,   70218,    6000,     810,        0,       0,        0,        0,       0,       0,CAD981694722,        0,        0,       0,   398915,       0,                                                    CAD044003556,CAT080012602,ORD980980775,
        0,       0,       0,       0, 14146779,       0,        0,        0,       0,       0,CAD981696420,        0,        0,       0,        0,       0,                                                                                           
    16671,       0,       0,       0,        0,       0,        0,        0,       0,       0,CAD982030173,        0,        0,       0,    16671,       0,                                                                              CAT080013352,
   321305,   33830,       0,       0,        0,       0,        0,        0,       0,       0,CAD982359671,        0,        0,       0,   355455,       0,                                                                              CAD099452708,
 21748297,  428467,   67930,   20400,        0,       0,        0,        0,       0,       0,CAD982413262,        0,        0,       0, 22012664,       0,                                                                 CAD980887418,CAD981696420,
   155633,   34560,       0,       0,   116900,       0,        0,        0,       0,       0,CAD982444481,        0,        0,       0,    68708,       0,                                                                 CAD981696420,CAT080025711,
        0,       0,       0,       0,   358785,       0,        0,        0,       0,       0,CAD982446858,        0,        0,       0,        0,       0,                                                                                           
    20826,       0,       0,       0,        0,       0,        0,        0,       0,       0,CAD982481905,        0,        0,       0,    20826,       0,                                                                              CAT080013352,
   258335,   84930,       0,       0,        0,       0,        0,        0,       0,       0,CAD982488470,        0,        0,       0,   343265,       0,                                                                              CAD099452708,
    14720,    1530,       0,       0,        0,       0,        0,        0,       0,       0,CAD982504979,        0,        0,       0,    16250,       0,                                                                              CAL000161743,
   968545,    9782,       0,       0,        0,       0,        0,        0,       0,       0,CAD983609678,        0,        0,       0,   978327,       0,                                                                              CAT080013352,
   842872,  221294,       0,       0,        0,       0,        0,        0,       0,       0,CAD983615501,        0,        0,       0,  1064146,       0,                                                    CAD099452708,CAD981426539,CAT080013352,
      675,       0,       0,       0,        0,       0,        0,        0,       0,       0,CAD983668583,        0,        0,       0,      675,       0,                                                                              CAD981696420,
   544247,       0,       0,       0,        0,       0,        0,        0,       0,       0,CAL000027718,        0,        0,       0,   544247,       0,                                                                 CAD099452708,CAD981696420,
    81670,  108456,       0,       0,        0,       0,        0,        0,       0,       0,CAL000027759,        0,        0,       0,   188126,       0,                                                                 CAL000161743,CAL000190818,
        0,       0,       0,       0,   947120,       0,        0,        0,       0,       0,CAL000102751,        0,        0,       0,        0,       0,                                                                                           
    13400,  103500,       0,       0,        0,       0,        0,        0,       0,       0,CAL000159447,        0,        0,       0,   116900,       0,                                                                              CAD982444481,
   170045,       0,       0,       0,        0,       0,        0,        0,       0,       0,CAL000161247,        0,        0,       0,   170045,       0,                                                                 CAD099452708,CAD981696420,
  1231000,       0,       0,       0,        0,       0,        0,        0,       0,       0,CAL000161289,        0,        0,       0,   204600,       0,                                                                 CAT080013352,CAT080025711,
        0,       0,       0,       0,  3513844,       0,        0,        0,       0,       0,CAL000161743,        0,        0,       0,        0,       0,                                                                                           
   227231,   39007,       0,       0,        0,       0,        0,        0,       0,       0,CAL000162034,        0,        0,       0,   265638,       0,                                                                              CAD088838222,
   305950,       0,       0,       0,        0,       0,        0,        0,       0,       0,CAL000183236,        0,        0,       0,   305950,       0,                                                                              CAD099452708,
   937270,    9850,       0,       0,        0,       0,        0,        0,       0,       0,CAL000188148,        0,        0,       0,   947120,       0,                                                                              CAL000102751,
   371592,   65404,       0,       0,        0,       0,        0,        0,       0,       0,CAL000188867,        0,        0,       0,   451501,       0,                          CAD044003556,CAD088838222,CAD980887418,CAL000161743,CAL000190818,
