WASTE_STATE_CODE,GenGAL,Import,DispGAL,TxIn,TxOut,TxLosses,TSDF_EPA_ID,Year,Class,H039,H061,H050,H020,H135,H040,H132,H129,H081,OtherUnknown,Others
221,121619,0,0,337588,457718,0,CAD981426539,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,52,52,0,0,CAD981427,2009,P-CA,52,0,0,0,0,0,0,0,0,,
221,895177,0,0,906585,1801762,0,CAD981427669,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,1883,1883,0,0,CAD98148296,2009,P-CA,1883,0,0,0,0,0,0,0,0,,
221,0,286,0,286,286,0,CAD981629306,2009,Tx-CA,0,0,0,0,0,0,0,0,0,,
221,1795,17573,4774,5139794,5034595,106994,CAD981696420,2009,Tx-CA,0,114,0,0,0,0,0,0,0,4660.000000,H144,H147,H181,
221,17239678,0,0,7799,17247477,0,CAD982413262,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,0,2044,130186,331751,204061,0,CAD982444481,2009,P-CA,127690,0,0,0,0,0,0,1993,0,503.000000,H010,
221,0,0,0,1393703,1291244,102459,CAD982446858,2009,Tx-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,171,3641218,3512490,128728,CAD982446874,2009,Tx-CA,0,0,0,0,0,0,0,0,0,171.000000,H145,
221,32265,0,0,4279496,4311761,0,CAD982446882,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,82,82,0,0,CAD983649880,2009,P-CA,82,0,0,0,0,0,0,0,0,,
221,0,0,1300,1300,0,0,CAD98766942,2009,P-CA,1300,0,0,0,0,0,0,0,0,,
221,0,0,2081,2081,0,0,CAL000,2009,P-CA,2081,0,0,0,0,0,0,0,0,,
221,969117,0,0,346961,1316078,0,CAL000102751,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,45524,45524,0,0,CAL000140816,2009,P-CA,45524,0,0,0,0,0,0,0,0,,
221,0,0,291,291,0,0,CAL000160838,2009,P-CA,291,0,0,0,0,0,0,0,0,,
221,0,0,3027,9010,5983,0,CAL000161743,2009,P-CA,3027,0,0,0,0,0,0,0,0,,
221,0,0,322,322,0,0,CAL000190081,2009,P-CA,322,0,0,0,0,0,0,0,0,,
221,0,0,2185,2185,0,0,CAL000190318,2009,P-CA,2185,0,0,0,0,0,0,0,0,,
221,0,0,2658,2658,0,0,CAL000190815,2009,P-CA,2658,0,0,0,0,0,0,0,0,,
221,0,103631,501804,1531038,1030961,0,CAL000190816,2009,P-CA,500077,0,0,0,1727,0,0,0,0,,
221,0,0,2516,2516,0,0,CAL000190863,2009,P-CA,2516,0,0,0,0,0,0,0,0,,
221,661,0,0,520,1181,0,CAL000264806,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,52,57,0,57,109,0,CAL000276213,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,7758,0,0,842656,850414,0,CAL000282598,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,293215,0,0,0,293215,0,CAL000301304,2009,G-CA,0,0,0,0,0,0,0,0,0,,
221,0,57,0,57,57,0,CAL000342485,2009,Tx-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,499,499,0,0,CAL000827816,2009,P-CA,499,0,0,0,0,0,0,0,0,,
221,0,0,31,31,0,0,CAL000827842,2009,P-CA,31,0,0,0,0,0,0,0,0,,
221,1905,0,0,304662,306567,0,CAL000827844,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,897211,0,0,2549,899760,0,CAL000827878,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,136,136,0,0,CAL00130837,2009,P-CA,136,0,0,0,0,0,0,0,0,,
221,319072,0,0,2392,321464,0,CAL930256136,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,973,0,0,1867,2840,0,CAR000038265,2009,C-CA,0,0,0,0,0,0,0,0,0,,
