Query,Label,Style
MDGeogExports,Exports out of CA - DTSC,
MDGeogTotal,Total Used Oil Generated,
MDGeogWC221ex,Exports - WC 221,
MDGeogWC222ex,Exports - WC 222,
MDGeogWC223ex,Exports - WC 223,
MDHaulingDirect,Hauling - Direct,
MDHaulingTotal,Total Used Oil Hauled,
MDHaulingTxLosses,Losses - Transfer Stations,
MDHaulingTxStation,Hauling - Transfer Stations,
MDHaulingWC221Direct,,
MDHaulingWC221TxLosses,,
MDHaulingWC221TxStation,,
MDHaulingWC222Direct,,
MDHaulingWC222TxLosses,,
MDHaulingWC222TxStation,,
MDHaulingWC223Direct,,
MDHaulingWC223TxLosses,,
MDHaulingWC223TxStation,,
MDProductsAsphalt,Asphalt Produced - MD,
MDProductsBaseOil,Base Oil Produced - MD,
MDProductsLightFuels,Light Fuels Produced - MD,
MDProductsRFO,RFO Produced - MD,
MDProductsTotal,Total Products - MD,
MDUOGenTotal,Total Used Oil Generated,
MDUOGenWC221,221 Used Oil,
MDUOGenWC222,222 Oil-Water Separation Sludge,
MDUOGenWC223,223 Other Oil-containing waste,
MDUnits,,*s
Year,,*d
