GEN_EPA_ID,TSDF_EPA_ID,CAT_CODE,METH_CODE,CONTAINER_TYPE,QUANTITY,UNITS
CAL000273156,CAT080013352,223,H039,DM,110,G
CAL000076777,CAT080013352,223,H039,DM,100,G
CAS111111056,CAD097030993,223,H141,DM,50,G
CAL921365357,CAT080013352,223,H039,TT,70,G
CAL000163129,CAT080013352,223,H039,TT,240,G
CAL000289790,CAD982444481,223,H141,DM,110,G
CAL000009798,CAD028409019,223,H141,DM,800,P
CAL000009798,CAD028409019,223,H141,DM,30,G
CAL000009799,CAD028409019,223,H061,DM,52,G
CAL000009799,CAD028409019,223,H141,DM,400,P
CAL000009804,CAD028409019,223,H061,DM,50,G
CAL000005020,CAD028409019,223,H141,DM,5,G
CAL000005020,CAD028409019,223,H061,DM,35,G
CAL000005020,CAD028409019,223,H141,DM,150,P
CAL000266856,CAD028409019,223,H141,DM,300,P
CAL000321616,CAD028409019,223,H141,DM,200,P
CAL000321616,CAD028409019,223,H135,DM,10,G
CAD981425044,CAD982444481,223,H141,DM,45,G
CAL000058972,CAD097030993,223,H141,DM,8400,P
CAL000266847,CAD028409019,223,H141,DM,350,P
CAR000170514,CAD028409019,223,H141,DM,80,P
CAD981425358,CAT080013352,223,H039,TT,800,G
CAL000325978,CAT080013352,223,H039,DM,55,G
CAL000222078,CAD980887418,223,H141,DM,350,P
CAL000249559,CAD981696420,223,H141,DF,25,G
CAL000318354,CAD044003556,223,H141,TT,75,G
CAL000335151,CAD044003556,223,H141,TT,110,G
CAL000310637,CAD981696420,223,H141,TT,420,G
CAL000335139,CAD044003556,223,H141,TT,60,G
CAL000335169,CAD044003556,223,H141,TT,100,G
CAL000335145,CAD044003556,223,H141,TT,55,G
CAL000335141,CAD044003556,223,H141,TT,40,G
CAL000291574,CAD044003556,223,H141,TT,55,G
CAL000335153,CAD044003556,223,H141,TT,60,G
CAR000015313,CAT000646117,223,H132,CM,30,Y
CAD009164021,CAD980675276,223,H132,CM,15160,P
CAD981463201,CAT080013352,223,H039,TP,275,G
CAL000336141,CAD028409019,223,H141,DM,250,P
CAL000221962,WIR000029751,223,H039,DM,50,P
CAL000078693,WIR000029751,223,H039,DM,75,P
CAL000186985,WIR000029751,223,H039,DM,75,P
CAL000186944,WIR000029751,223,H039,DM,75,P
CAL000073633,NVT330010000,223,H039,DM,200,P
CAR000047167,CAD044003556,223,H141,TT,1195,G
CAD044429835,NED981723513,223,H040,CF,400,P
CAL000827878,CAD044003556,223,H141,TT,1470,G
CAL000827878,CAD044003556,223,H141,TT,1900,G
CAL000126291,CAD982446858,223,H141,TT,200,G
CAL000298918,CAD982446858,223,H141,TT,200,G
CAD981983646,NVT330010000,223,H039,DM,275,G
CAL000170923,CAD097030993,223,H141,DM,500,P
CAL000021047,CAD097030993,223,H141,DM,4200,P
CAR000083733,CAD028409019,223,H061,DM,55,G
CAR000083733,CAD028409019,223,H135,DM,40,G
CAL000223175,CAD981696420,223,H141,DF,25,G
CAD981442080,CAD980887418,223,H141,DM,275,G
CAL000338909,CAD980887418,223,H141,TT,3890,G
ORD980975692,ORD980980775,223,H040,DM,110,G
